model_name,model_version,model_size_params,korean_support,test_text,test_type,run_index,load_time_s,ttfa_ms,inference_time_s,audio_duration_s,rtf,vram_before_mb,vram_after_mb,vram_used_mb,vram_peak_mb,sample_rate,output_wav,success,error,notes,timestamp
CosyVoice2-0.5B,,500M,True,AI와 머신러닝 기술을 활용한 TTS 시스템이 발전하고 있습니다. GPT와 Claude 같은 대형 언어 모델들도 음성 기능을 지원합니다. RTF 0.5 이하면 실시간 서비스에 적합합니다.,TTS,0,19.61678469995968,26626.857199938968,26.640273900004104,48.8,0.5459072520492645,0.0,2443.625,2443.625,4302.701171875,24000,results_multi_ko\ko_mixed\wav\cosyvoice2\CosyVoice2-0.5B_0.wav,True,,"cross-lingual <|ko|>, campplus CPU",2026-03-03T08:50:04.447832
CosyVoice3-0.5B,,500M,True,AI와 머신러닝 기술을 활용한 TTS 시스템이 발전하고 있습니다. GPT와 Claude 같은 대형 언어 모델들도 음성 기능을 지원합니다. RTF 0.5 이하면 실시간 서비스에 적합합니다.,TTS,0,21.410701800021343,3707.8011999838054,3.710390600026585,6.64,0.5587937650642448,0.0,3284.8349609375,3284.8349609375,3447.08740234375,24000,results_multi_ko\ko_mixed\wav\cosyvoice3\CosyVoice3-0.5B_0.wav,True,,zero-shot with <|ko|>,2026-03-03T08:50:41.233112
Qwen3-TTS-0.6B,,0.6B,True,AI와 머신러닝 기술을 활용한 TTS 시스템이 발전하고 있습니다. GPT와 Claude 같은 대형 언어 모델들도 음성 기능을 지원합니다. RTF 0.5 이하면 실시간 서비스에 적합합니다.,TTS,0,2.0802168999798596,22704.78750008624,22.70478750008624,13.52,1.6793481878762013,0.0,2070.3466796875,2070.3466796875,2818.6552734375,24000,results_multi_ko\ko_mixed\wav\qwen3_tts_0.6b\Qwen3-TTS-0.6B_0.wav,True,,"10개 언어 지원, qwen_tts 패키지",2026-03-03T08:51:48.371798
Qwen3-TTS-1.7B,,1.7B,True,AI와 머신러닝 기술을 활용한 TTS 시스템이 발전하고 있습니다. GPT와 Claude 같은 대형 언어 모델들도 음성 기능을 지원합니다. RTF 0.5 이하면 실시간 서비스에 적합합니다.,TTS,0,3.052661999943666,23486.065799952485,23.486065799952485,13.84,1.696970072250902,0.0,4004.4638671875,4004.4638671875,4753.1240234375,24000,results_multi_ko\ko_mixed\wav\qwen3_tts_1.7b\Qwen3-TTS-1.7B_0.wav,True,,"10개 언어 지원, 고품질",2026-03-03T08:52:59.054884
GPT-SoVITS-V3,,~200M,True,AI와 머신러닝 기술을 활용한 TTS 시스템이 발전하고 있습니다. GPT와 Claude 같은 대형 언어 모델들도 음성 기능을 지원합니다. RTF 0.5 이하면 실시간 서비스에 적합합니다.,TTS,0,3.9350163999479264,4717.436000006273,4.717436000006273,13.952,0.3381189793582478,0.0,1924.83056640625,1924.83056640625,2175.17578125,24000,results_multi_ko\ko_mixed\wav\gpt_sovits\GPT-SoVITS-V3_0.wav,True,,"V3 (BigVGAN vocoder), 한국어 지원",2026-03-03T08:53:40.196070
XTTS-v2,,~1.8B,True,AI와 머신러닝 기술을 활용한 TTS 시스템이 발전하고 있습니다. GPT와 Claude 같은 대형 언어 모델들도 음성 기능을 지원합니다. RTF 0.5 이하면 실시간 서비스에 적합합니다.,TTS,0,24.695421100012027,4532.553600030951,4.532553600030951,16.503333333333334,0.2746447343989669,0.0,1823.1953125,1823.1953125,1974.177734375,24000,results_multi_ko\ko_mixed\wav\xtts\XTTS-v2_0.wav,True,,"17개 언어, 한국어 공식 지원, Coqui",2026-03-03T08:54:20.653847
MeloTTS-KO,,~50M,True,AI와 머신러닝 기술을 활용한 TTS 시스템이 발전하고 있습니다. GPT와 Claude 같은 대형 언어 모델들도 음성 기능을 지원합니다. RTF 0.5 이하면 실시간 서비스에 적합합니다.,TTS,0,13.244619800010696,639.8914000019431,0.6398914000019431,16.31108843537415,0.039230453720930064,0.0,200.81689453125,200.81689453125,851.025390625,44100,results_multi_ko\ko_mixed\wav\melotts\MeloTTS-KO_0.wav,True,,"VITS 기반, 한국어 전용, CPU 실시간",2026-03-03T08:54:44.279437
OuteTTS-1.0-0.6B,,0.6B,True,AI와 머신러닝 기술을 활용한 TTS 시스템이 발전하고 있습니다. GPT와 Claude 같은 대형 언어 모델들도 음성 기능을 지원합니다. RTF 0.5 이하면 실시간 서비스에 적합합니다.,TTS,0,19.495230400003493,46170.029400032945,46.170029400032945,14.35968253968254,3.215254186326438,0.0,2666.08837890625,2666.08837890625,4023.74755859375,44100,results_multi_ko/ko_mixed/wav/outetss/OuteTTS-1.0-0.6B_0.wav,True,,"LLM 기반 TTS, 9개 언어, zero-shot",2026-03-03T08:56:35.889159
OpenVoice-v2,,~200M,True,AI와 머신러닝 기술을 활용한 TTS 시스템이 발전하고 있습니다. GPT와 Claude 같은 대형 언어 모델들도 음성 기능을 지원합니다. RTF 0.5 이하면 실시간 서비스에 적합합니다.,TTS,0,8.400961200008169,1850.0671000219882,1.8500671000219882,16.39328798185941,0.1128551576760713,135.35693359375,345.42333984375,210.06640625,1332.4638671875,22050,results_multi_ko\ko_mixed\wav\openvoice\OpenVoice-v2_0.wav,True,,"한국어 공식 지원, 음성 클론, MeloTTS 기반",2026-03-03T08:57:10.839548
