model_name,model_version,model_size_params,korean_support,test_text,test_type,run_index,load_time_s,ttfa_ms,inference_time_s,audio_duration_s,rtf,vram_before_mb,vram_after_mb,vram_used_mb,vram_peak_mb,sample_rate,output_wav,success,error,notes,timestamp
CosyVoice2-0.5B,,500M,True,딥러닝 모델의 학습 과정에서 배치 정규화와 드롭아웃을 적용하면 과적합을 효과적으로 방지할 수 있습니다. 트랜스포머 아키텍처의 어텐션 메커니즘은 시퀀스 데이터를 병렬로 처리하여 훈련 효율을 높입니다.,TTS,0,21.08521519997157,36371.38020002749,36.393538500065915,66.4,0.548095459338342,0.0,2443.625,2443.625,5557.2294921875,24000,results_multi_ko\ko_technical\wav\cosyvoice2\CosyVoice2-0.5B_0.wav,True,,"cross-lingual <|ko|>, campplus CPU",2026-03-03T09:15:53.362384
CosyVoice3-0.5B,,500M,True,딥러닝 모델의 학습 과정에서 배치 정규화와 드롭아웃을 적용하면 과적합을 효과적으로 방지할 수 있습니다. 트랜스포머 아키텍처의 어텐션 메커니즘은 시퀀스 데이터를 병렬로 처리하여 훈련 효율을 높입니다.,TTS,0,21.67229620006401,3850.154099985957,3.852982599986717,6.64,0.5802684638534212,0.0,3284.8349609375,3284.8349609375,3463.6708984375,24000,results_multi_ko\ko_technical\wav\cosyvoice3\CosyVoice3-0.5B_0.wav,True,,zero-shot with <|ko|>,2026-03-03T09:16:30.129258
Qwen3-TTS-0.6B,,0.6B,True,딥러닝 모델의 학습 과정에서 배치 정규화와 드롭아웃을 적용하면 과적합을 효과적으로 방지할 수 있습니다. 트랜스포머 아키텍처의 어텐션 메커니즘은 시퀀스 데이터를 병렬로 처리하여 훈련 효율을 높입니다.,TTS,0,2.085269800038077,23924.743700074032,23.924743700074032,14.8,1.6165367364914887,0.0,2070.3466796875,2070.3466796875,2818.6943359375,24000,results_multi_ko\ko_technical\wav\qwen3_tts_0.6b\Qwen3-TTS-0.6B_0.wav,True,,"10개 언어 지원, qwen_tts 패키지",2026-03-03T09:17:39.235319
Qwen3-TTS-1.7B,,1.7B,True,딥러닝 모델의 학습 과정에서 배치 정규화와 드롭아웃을 적용하면 과적합을 효과적으로 방지할 수 있습니다. 트랜스포머 아키텍처의 어텐션 메커니즘은 시퀀스 데이터를 병렬로 처리하여 훈련 효율을 높입니다.,TTS,0,2.9727064999751747,24048.95540000871,24.04895540000871,14.88,1.616193239247897,0.0,4004.4638671875,4004.4638671875,4753.18212890625,24000,results_multi_ko\ko_technical\wav\qwen3_tts_1.7b\Qwen3-TTS-1.7B_0.wav,True,,"10개 언어 지원, 고품질",2026-03-03T09:18:50.018807
GPT-SoVITS-V3,,~200M,True,딥러닝 모델의 학습 과정에서 배치 정규화와 드롭아웃을 적용하면 과적합을 효과적으로 방지할 수 있습니다. 트랜스포머 아키텍처의 어텐션 메커니즘은 시퀀스 데이터를 병렬로 처리하여 훈련 효율을 높입니다.,TTS,0,5.466912100091577,5234.77510001976,5.23477510001976,15.114666666666666,0.3463374492779482,0.0,1924.83056640625,1924.83056640625,2188.76806640625,24000,results_multi_ko\ko_technical\wav\gpt_sovits\GPT-SoVITS-V3_0.wav,True,,"V3 (BigVGAN vocoder), 한국어 지원",2026-03-03T09:19:32.907391
XTTS-v2,,~1.8B,True,딥러닝 모델의 학습 과정에서 배치 정규화와 드롭아웃을 적용하면 과적합을 효과적으로 방지할 수 있습니다. 트랜스포머 아키텍처의 어텐션 메커니즘은 시퀀스 데이터를 병렬로 처리하여 훈련 효율을 높입니다.,TTS,0,28.259126299992204,4309.70119999256,4.30970119999256,15.169333333333332,0.28410617034318536,0.0,1823.1953125,1823.1953125,1992.09619140625,24000,results_multi_ko\ko_technical\wav\xtts\XTTS-v2_0.wav,True,,"17개 언어, 한국어 공식 지원, Coqui",2026-03-03T09:20:16.229097
MeloTTS-KO,,~50M,True,딥러닝 모델의 학습 과정에서 배치 정규화와 드롭아웃을 적용하면 과적합을 효과적으로 방지할 수 있습니다. 트랜스포머 아키텍처의 어텐션 메커니즘은 시퀀스 데이터를 병렬로 처리하여 훈련 효율을 높입니다.,TTS,0,14.327655100030825,541.5752000408247,0.5415752000408247,15.912789115646259,0.034033958227242554,0.0,200.81689453125,200.81689453125,925.068359375,44100,results_multi_ko\ko_technical\wav\melotts\MeloTTS-KO_0.wav,True,,"VITS 기반, 한국어 전용, CPU 실시간",2026-03-03T09:20:41.830750
OuteTTS-1.0-0.6B,,0.6B,True,딥러닝 모델의 학습 과정에서 배치 정규화와 드롭아웃을 적용하면 과적합을 효과적으로 방지할 수 있습니다. 트랜스포머 아키텍처의 어텐션 메커니즘은 시퀀스 데이터를 병렬로 처리하여 훈련 효율을 높입니다.,TTS,0,19.698991500074044,43657.16699999757,43.65716699999757,13.59968253968254,3.2101607425474996,0.0,2666.08837890625,2666.08837890625,4047.83837890625,44100,results_multi_ko/ko_technical/wav/outetss/OuteTTS-1.0-0.6B_0.wav,True,,"LLM 기반 TTS, 9개 언어, zero-shot",2026-03-03T09:22:35.984537
OpenVoice-v2,,~200M,True,딥러닝 모델의 학습 과정에서 배치 정규화와 드롭아웃을 적용하면 과적합을 효과적으로 방지할 수 있습니다. 트랜스포머 아키텍처의 어텐션 메커니즘은 시퀀스 데이터를 병렬로 처리하여 훈련 효율을 높입니다.,TTS,0,8.593771200045012,1840.4068000381812,1.8404068000381812,15.975328798185942,0.11520306237748085,135.35693359375,345.42333984375,210.06640625,1348.54345703125,22050,results_multi_ko\ko_technical\wav\openvoice\OpenVoice-v2_0.wav,True,,"한국어 공식 지원, 음성 클론, MeloTTS 기반",2026-03-03T09:23:11.627500
