model_name,model_version,model_size_params,korean_support,test_text,test_type,run_index,load_time_s,ttfa_ms,inference_time_s,audio_duration_s,rtf,vram_before_mb,vram_after_mb,vram_used_mb,vram_peak_mb,sample_rate,output_wav,success,error,notes,timestamp
CosyVoice2-0.5B,,500M,True,"2026년 3월 2일 오후 3시 45분입니다. 서울 기온은 영하 2.5도이며, 내일 강수 확률은 80퍼센트입니다. 문의 전화번호는 공일공 일이삼사 오육칠팔입니다.",TTS,0,19.771575800026767,29183.25810006354,29.19755190005526,55.2,0.5289411576096967,0.0,2443.625,2443.625,4721.5625,24000,results_multi_ko\ko_numbers\wav\cosyvoice2\CosyVoice2-0.5B_0.wav,True,,"cross-lingual <|ko|>, campplus CPU",2026-03-03T08:41:56.708008
CosyVoice3-0.5B,,500M,True,"2026년 3월 2일 오후 3시 45분입니다. 서울 기온은 영하 2.5도이며, 내일 강수 확률은 80퍼센트입니다. 문의 전화번호는 공일공 일이삼사 오육칠팔입니다.",TTS,0,23.712984499987215,3617.629599990323,3.6198502000188455,6.64,0.5451581626534406,0.0,3284.8349609375,3284.8349609375,3454.2060546875,24000,results_multi_ko\ko_numbers\wav\cosyvoice3\CosyVoice3-0.5B_0.wav,True,,zero-shot with <|ko|>,2026-03-03T08:42:35.612828
Qwen3-TTS-0.6B,,0.6B,True,"2026년 3월 2일 오후 3시 45분입니다. 서울 기온은 영하 2.5도이며, 내일 강수 확률은 80퍼센트입니다. 문의 전화번호는 공일공 일이삼사 오육칠팔입니다.",TTS,0,2.0954680000431836,19424.88080007024,19.42488080007024,12.24,1.5870000653652157,0.0,2070.3466796875,2070.3466796875,2818.6162109375,24000,results_multi_ko\ko_numbers\wav\qwen3_tts_0.6b\Qwen3-TTS-0.6B_0.wav,True,,"10개 언어 지원, qwen_tts 패키지",2026-03-03T08:43:37.926264
Qwen3-TTS-1.7B,,1.7B,True,"2026년 3월 2일 오후 3시 45분입니다. 서울 기온은 영하 2.5도이며, 내일 강수 확률은 80퍼센트입니다. 문의 전화번호는 공일공 일이삼사 오육칠팔입니다.",TTS,0,2.9753024999517947,20406.406199908815,20.406406199908815,13.04,1.5649084509132527,0.0,4004.4638671875,4004.4638671875,4753.08056640625,24000,results_multi_ko\ko_numbers\wav\qwen3_tts_1.7b\Qwen3-TTS-1.7B_0.wav,True,,"10개 언어 지원, 고품질",2026-03-03T08:44:42.000945
GPT-SoVITS-V3,,~200M,True,"2026년 3월 2일 오후 3시 45분입니다. 서울 기온은 영하 2.5도이며, 내일 강수 확률은 80퍼센트입니다. 문의 전화번호는 공일공 일이삼사 오육칠팔입니다.",TTS,0,3.889713899930939,4409.369400003925,4.409369400003925,13.44,0.3280780803574349,0.0,1924.83056640625,1924.83056640625,2165.9208984375,24000,results_multi_ko\ko_numbers\wav\gpt_sovits\GPT-SoVITS-V3_0.wav,True,,"V3 (BigVGAN vocoder), 한국어 지원",2026-03-03T08:45:20.067870
XTTS-v2,,~1.8B,True,"2026년 3월 2일 오후 3시 45분입니다. 서울 기온은 영하 2.5도이며, 내일 강수 확률은 80퍼센트입니다. 문의 전화번호는 공일공 일이삼사 오육칠팔입니다.",TTS,0,23.710408800048754,4345.548999961466,4.345548999961466,15.948666666666666,0.2724709902580027,0.0,1823.1953125,1823.1953125,1974.205078125,24000,results_multi_ko\ko_numbers\wav\xtts\XTTS-v2_0.wav,True,,"17개 언어, 한국어 공식 지원, Coqui",2026-03-03T08:45:58.548150
MeloTTS-KO,,~50M,True,"2026년 3월 2일 오후 3시 45분입니다. 서울 기온은 영하 2.5도이며, 내일 강수 확률은 80퍼센트입니다. 문의 전화번호는 공일공 일이삼사 오육칠팔입니다.",TTS,0,13.352424600045197,685.6192999985069,0.6856192999985069,16.233378684807256,0.042235157160485315,0.0,200.81689453125,200.81689453125,833.9794921875,44100,results_multi_ko\ko_numbers\wav\melotts\MeloTTS-KO_0.wav,True,,"VITS 기반, 한국어 전용, CPU 실시간",2026-03-03T08:46:22.912098
OuteTTS-1.0-0.6B,,0.6B,True,"2026년 3월 2일 오후 3시 45분입니다. 서울 기온은 영하 2.5도이며, 내일 강수 확률은 80퍼센트입니다. 문의 전화번호는 공일공 일이삼사 오육칠팔입니다.",TTS,0,21.261450899997726,44408.31890003756,44.40831890003756,13.613015873015874,3.2621954836668525,0.0,2666.08837890625,2666.08837890625,4039.2080078125,44100,results_multi_ko/ko_numbers/wav/outetss/OuteTTS-1.0-0.6B_0.wav,True,,"LLM 기반 TTS, 9개 언어, zero-shot",2026-03-03T08:48:07.161579
OpenVoice-v2,,~200M,True,"2026년 3월 2일 오후 3시 45분입니다. 서울 기온은 영하 2.5도이며, 내일 강수 확률은 80퍼센트입니다. 문의 전화번호는 공일공 일이삼사 오육칠팔입니다.",TTS,0,8.886980599956587,1646.358500001952,1.646358500001952,16.24235827664399,0.10136203573155782,135.35693359375,345.42333984375,210.06640625,1323.3828125,22050,results_multi_ko\ko_numbers\wav\openvoice\OpenVoice-v2_0.wav,True,,"한국어 공식 지원, 음성 클론, MeloTTS 기반",2026-03-03T08:48:44.286896
