model_name,model_version,model_size_params,korean_support,test_text,test_type,run_index,load_time_s,ttfa_ms,inference_time_s,audio_duration_s,rtf,vram_before_mb,vram_after_mb,vram_used_mb,vram_peak_mb,sample_rate,output_wav,success,error,notes,timestamp
CosyVoice2-0.5B,,500M,True,안녕하세요. 오늘 날씨가 정말 좋네요.,TTS,0,22.716687600011937,5876.410800032318,5.8793667000718415,10.4,0.565323721160754,0.0,2443.625,2443.625,2719.13330078125,24000,results_multi_ko\ko_short\wav\cosyvoice2\CosyVoice2-0.5B_0.wav,True,,"cross-lingual <|ko|>, campplus CPU",2026-03-03T08:17:29.899362
CosyVoice3-0.5B,,500M,True,안녕하세요. 오늘 날씨가 정말 좋네요.,TTS,0,23.557221499970183,3695.884999935515,3.6978272999404,6.64,0.556901701798253,0.0,3284.8349609375,3284.8349609375,3421.8125,24000,results_multi_ko\ko_short\wav\cosyvoice3\CosyVoice3-0.5B_0.wav,True,,zero-shot with <|ko|>,2026-03-03T08:18:08.444103
Qwen3-TTS-0.6B,,0.6B,True,안녕하세요. 오늘 날씨가 정말 좋네요.,TTS,0,3.479173499974422,5250.887600006536,5.250887600006536,3.12,1.6829767948738896,0.0,2070.3466796875,2070.3466796875,2818.337890625,24000,results_multi_ko\ko_short\wav\qwen3_tts_0.6b\Qwen3-TTS-0.6B_0.wav,True,,"10개 언어 지원, qwen_tts 패키지",2026-03-03T08:18:48.932078
Qwen3-TTS-1.7B,,1.7B,True,안녕하세요. 오늘 날씨가 정말 좋네요.,TTS,0,4.175070700002834,3539.038399932906,3.539038399932906,2.08,1.7014607691985124,0.0,4004.4638671875,4004.4638671875,4752.478515625,24000,results_multi_ko\ko_short\wav\qwen3_tts_1.7b\Qwen3-TTS-1.7B_0.wav,True,,"10개 언어 지원, 고품질",2026-03-03T08:19:21.639128
GPT-SoVITS-V3,,~200M,True,안녕하세요. 오늘 날씨가 정말 좋네요.,TTS,0,4.248432399937883,1319.9758999980986,1.3199758999980986,3.232,0.40840838490040177,0.0,1924.83056640625,1924.83056640625,2039.68408203125,24000,results_multi_ko\ko_short\wav\gpt_sovits\GPT-SoVITS-V3_0.wav,True,,"V3 (BigVGAN vocoder), 한국어 지원",2026-03-03T08:19:54.919651
XTTS-v2,,~1.8B,True,안녕하세요. 오늘 날씨가 정말 좋네요.,TTS,0,28.628191799973138,5211.232500034384,5.211232500034384,19.073333333333334,0.2732208580933791,0.0,1823.1953125,1823.1953125,2062.61572265625,24000,results_multi_ko\ko_short\wav\xtts\XTTS-v2_0.wav,True,,"17개 언어, 한국어 공식 지원, Coqui",2026-03-03T08:20:40.337976
MeloTTS-KO,,~50M,True,안녕하세요. 오늘 날씨가 정말 좋네요.,TTS,0,17.325386599986814,152.41109998896718,0.15241109998896718,4.7752607709750565,0.03191681193943394,0.0,200.81689453125,200.81689453125,834.3095703125,44100,results_multi_ko\ko_short\wav\melotts\MeloTTS-KO_0.wav,True,,"VITS 기반, 한국어 전용, CPU 실시간",2026-03-03T08:21:09.720452
OuteTTS-1.0-0.6B,,0.6B,True,안녕하세요. 오늘 날씨가 정말 좋네요.,TTS,0,25.169530300074257,14697.044299915433,14.697044299915433,4.919682539682539,2.9873968861543276,0.0,2666.08837890625,2666.08837890625,3977.982421875,44100,results_multi_ko/ko_short/wav/outetss/OuteTTS-1.0-0.6B_0.wav,True,,"LLM 기반 TTS, 9개 언어, zero-shot",2026-03-03T08:22:10.774105
OpenVoice-v2,,~200M,True,안녕하세요. 오늘 날씨가 정말 좋네요.,TTS,0,8.75825089996215,854.4570999220014,0.8544570999220014,4.73687074829932,0.18038429700214584,135.35693359375,345.42333984375,210.06640625,1094.02392578125,22050,results_multi_ko\ko_short\wav\openvoice\OpenVoice-v2_0.wav,True,,"한국어 공식 지원, 음성 클론, MeloTTS 기반",2026-03-03T08:22:49.841048
