model_name,model_version,model_size_params,korean_support,test_text,test_type,run_index,load_time_s,ttfa_ms,inference_time_s,audio_duration_s,rtf,vram_before_mb,vram_after_mb,vram_used_mb,vram_peak_mb,sample_rate,output_wav,success,error,notes,timestamp
CosyVoice2-0.5B,,500M,True,"야, 오늘 점심 뭐 먹을래? 나는 김치찌개가 당기는데. 아니면 짜장면도 괜찮고. 요즘 날씨도 추운데 따뜻한 국물이 최고 아니겠어? 네 생각은 어때?",TTS,0,19.804736699908972,27682.400499936193,27.696717699989676,51.2,0.5409515175779234,0.0,2443.625,2443.625,4455.4296875,24000,results_multi_ko\ko_conversational\wav\cosyvoice2\CosyVoice2-0.5B_0.wav,True,,"cross-lingual <|ko|>, campplus CPU",2026-03-03T09:07:48.379613
CosyVoice3-0.5B,,500M,True,"야, 오늘 점심 뭐 먹을래? 나는 김치찌개가 당기는데. 아니면 짜장면도 괜찮고. 요즘 날씨도 추운데 따뜻한 국물이 최고 아니겠어? 네 생각은 어때?",TTS,0,22.91104049992282,3729.502100031823,3.7315187000203878,6.64,0.5619757078343958,0.0,3284.8349609375,3284.8349609375,3449.8564453125,24000,results_multi_ko\ko_conversational\wav\cosyvoice3\CosyVoice3-0.5B_0.wav,True,,zero-shot with <|ko|>,2026-03-03T09:08:26.854831
Qwen3-TTS-0.6B,,0.6B,True,"야, 오늘 점심 뭐 먹을래? 나는 김치찌개가 당기는데. 아니면 짜장면도 괜찮고. 요즘 날씨도 추운데 따뜻한 국물이 최고 아니겠어? 네 생각은 어때?",TTS,0,2.12519659998361,18175.8457000833,18.1758457000833,11.2,1.6228433660788661,0.0,2070.3466796875,2070.3466796875,2818.58447265625,24000,results_multi_ko\ko_conversational\wav\qwen3_tts_0.6b\Qwen3-TTS-0.6B_0.wav,True,,"10개 언어 지원, qwen_tts 패키지",2026-03-03T09:09:25.929358
Qwen3-TTS-1.7B,,1.7B,True,"야, 오늘 점심 뭐 먹을래? 나는 김치찌개가 당기는데. 아니면 짜장면도 괜찮고. 요즘 날씨도 추운데 따뜻한 국물이 최고 아니겠어? 네 생각은 어때?",TTS,0,3.007054700050503,14889.080599998124,14.889080599998124,8.8,1.691940977272514,0.0,4004.4638671875,4004.4638671875,4752.84814453125,24000,results_multi_ko\ko_conversational\wav\qwen3_tts_1.7b\Qwen3-TTS-1.7B_0.wav,True,,"10개 언어 지원, 고품질",2026-03-03T09:10:21.653853
GPT-SoVITS-V3,,~200M,True,"야, 오늘 점심 뭐 먹을래? 나는 김치찌개가 당기는데. 아니면 짜장면도 괜찮고. 요즘 날씨도 추운데 따뜻한 국물이 최고 아니겠어? 네 생각은 어때?",TTS,0,5.355973300058395,4640.711999963969,4.640711999963969,13.76,0.3372610465090094,0.0,1924.83056640625,1924.83056640625,2169.14697265625,24000,results_multi_ko\ko_conversational\wav\gpt_sovits\GPT-SoVITS-V3_0.wav,True,,"V3 (BigVGAN vocoder), 한국어 지원",2026-03-03T09:11:01.232116
XTTS-v2,,~1.8B,True,"야, 오늘 점심 뭐 먹을래? 나는 김치찌개가 당기는데. 아니면 짜장면도 괜찮고. 요즘 날씨도 추운데 따뜻한 국물이 최고 아니겠어? 네 생각은 어때?",TTS,0,26.985894799930975,7025.799400056712,7.025799400056712,24.846,0.28277386299833823,0.0,1823.1953125,1823.1953125,1990.0,24000,results_multi_ko\ko_conversational\wav\xtts\XTTS-v2_0.wav,True,,"17개 언어, 한국어 공식 지원, Coqui",2026-03-03T09:11:46.132342
MeloTTS-KO,,~50M,True,"야, 오늘 점심 뭐 먹을래? 나는 김치찌개가 당기는데. 아니면 짜장면도 괜찮고. 요즘 날씨도 추운데 따뜻한 국물이 최고 아니겠어? 네 생각은 어때?",TTS,0,13.280245400033891,751.6413000412285,0.7516413000412285,16.02795918367347,0.04689563352562511,0.0,200.81689453125,200.81689453125,824.97314453125,44100,results_multi_ko\ko_conversational\wav\melotts\MeloTTS-KO_0.wav,True,,"VITS 기반, 한국어 전용, CPU 실시간",2026-03-03T09:12:10.408618
OuteTTS-1.0-0.6B,,0.6B,True,"야, 오늘 점심 뭐 먹을래? 나는 김치찌개가 당기는데. 아니면 짜장면도 괜찮고. 요즘 날씨도 추운데 따뜻한 국물이 최고 아니겠어? 네 생각은 어때?",TTS,0,20.25004399998579,30390.503100003116,30.390503100003116,9.79968253968254,3.101172203991377,0.0,2666.08837890625,2666.08837890625,4030.57568359375,44100,results_multi_ko/ko_conversational/wav/outetss/OuteTTS-1.0-0.6B_0.wav,True,,"LLM 기반 TTS, 9개 언어, zero-shot",2026-03-03T09:13:35.593797
OpenVoice-v2,,~200M,True,"야, 오늘 점심 뭐 먹을래? 나는 김치찌개가 당기는데. 아니면 짜장면도 괜찮고. 요즘 날씨도 추운데 따뜻한 국물이 최고 아니겠어? 네 생각은 어때?",TTS,0,8.928153999964707,1797.982000047341,1.797982000047341,16.01015873015873,0.11230257178277928,135.35693359375,345.42333984375,210.06640625,1308.0224609375,22050,results_multi_ko\ko_conversational\wav\openvoice\OpenVoice-v2_0.wav,True,,"한국어 공식 지원, 음성 클론, MeloTTS 기반",2026-03-03T09:14:12.637356
