model_name,model_version,model_size_params,korean_support,test_text,test_type,run_index,load_time_s,ttfa_ms,inference_time_s,audio_duration_s,rtf,vram_before_mb,vram_after_mb,vram_used_mb,vram_peak_mb,sample_rate,output_wav,success,error,notes,timestamp
CosyVoice2-0.5B,,500M,True,안녕하세요. 인공지능 음성 합성 기술이 놀라울 정도로 발전했습니다. 한국어 발음의 정확성과 자연스러움을 평가하고 있습니다.,TTS,0,19.78891470003873,19685.73639995884,19.693763399962336,38.4,0.5128584218740192,0.0,2443.625,2443.625,3717.0673828125,24000,results_multi_ko\ko_medium\wav\cosyvoice2\CosyVoice2-0.5B_0.wav,True,,"cross-lingual <|ko|>, campplus CPU",2026-03-03T08:24:00.591549
CosyVoice3-0.5B,,500M,True,안녕하세요. 인공지능 음성 합성 기술이 놀라울 정도로 발전했습니다. 한국어 발음의 정확성과 자연스러움을 평가하고 있습니다.,TTS,0,20.827305499929935,3496.493700076826,3.4983694000402465,6.64,0.5268628614518444,0.0,3284.8349609375,3284.8349609375,3439.72802734375,24000,results_multi_ko\ko_medium\wav\cosyvoice3\CosyVoice3-0.5B_0.wav,True,,zero-shot with <|ko|>,2026-03-03T08:24:36.040991
Qwen3-TTS-0.6B,,0.6B,True,안녕하세요. 인공지능 음성 합성 기술이 놀라울 정도로 발전했습니다. 한국어 발음의 정확성과 자연스러움을 평가하고 있습니다.,TTS,0,2.0841894999612123,14348.359099938534,14.348359099938534,8.96,1.6013793638324256,0.0,2070.3466796875,2070.3466796875,2818.515625,24000,results_multi_ko\ko_medium\wav\qwen3_tts_0.6b\Qwen3-TTS-0.6B_0.wav,True,,"10개 언어 지원, qwen_tts 패키지",2026-03-03T08:25:27.898382
Qwen3-TTS-1.7B,,1.7B,True,안녕하세요. 인공지능 음성 합성 기술이 놀라울 정도로 발전했습니다. 한국어 발음의 정확성과 자연스러움을 평가하고 있습니다.,TTS,0,2.998830800061114,13978.100199950859,13.978100199950859,8.72,1.6029931421961994,0.0,4004.4638671875,4004.4638671875,4752.84228515625,24000,results_multi_ko\ko_medium\wav\qwen3_tts_1.7b\Qwen3-TTS-1.7B_0.wav,True,,"10개 언어 지원, 고품질",2026-03-03T08:26:21.856663
GPT-SoVITS-V3,,~200M,True,안녕하세요. 인공지능 음성 합성 기술이 놀라울 정도로 발전했습니다. 한국어 발음의 정확성과 자연스러움을 평가하고 있습니다.,TTS,0,3.8501054999651387,3062.3312999960035,3.0623312999960035,8.917333333333334,0.3434133485342408,0.0,1924.83056640625,1924.83056640625,2108.64501953125,24000,results_multi_ko\ko_medium\wav\gpt_sovits\GPT-SoVITS-V3_0.wav,True,,"V3 (BigVGAN vocoder), 한국어 지원",2026-03-03T08:26:58.675556
XTTS-v2,,~1.8B,True,안녕하세요. 인공지능 음성 합성 기술이 놀라울 정도로 발전했습니다. 한국어 발음의 정확성과 자연스러움을 평가하고 있습니다.,TTS,0,24.7277070999844,4505.92130003497,4.50592130003497,16.55666666666667,0.27215147775528303,0.0,1823.1953125,1823.1953125,1974.1640625,24000,results_multi_ko\ko_medium\wav\xtts\XTTS-v2_0.wav,True,,"17개 언어, 한국어 공식 지원, Coqui",2026-03-03T08:27:37.663834
MeloTTS-KO,,~50M,True,안녕하세요. 인공지능 음성 합성 기술이 놀라울 정도로 발전했습니다. 한국어 발음의 정확성과 자연스러움을 평가하고 있습니다.,TTS,0,12.83232509996742,401.4176999917254,0.4014176999917254,11.454557823129251,0.03504436453943036,0.0,200.81689453125,200.81689453125,877.4375,44100,results_multi_ko\ko_medium\wav\melotts\MeloTTS-KO_0.wav,True,,"VITS 기반, 한국어 전용, CPU 실시간",2026-03-03T08:28:00.287573
OuteTTS-1.0-0.6B,,0.6B,True,안녕하세요. 인공지능 음성 합성 기술이 놀라울 정도로 발전했습니다. 한국어 발음의 정확성과 자연스러움을 평가하고 있습니다.,TTS,0,19.78292120003607,29732.612499967217,29.732612499967217,9.75968253968254,3.0464733231921652,0.0,2666.08837890625,2666.08837890625,4008.17333984375,44100,results_multi_ko/ko_medium/wav/outetss/OuteTTS-1.0-0.6B_0.wav,True,,"LLM 기반 TTS, 9개 언어, zero-shot",2026-03-03T08:29:29.386610
OpenVoice-v2,,~200M,True,안녕하세요. 인공지능 음성 합성 기술이 놀라울 정도로 발전했습니다. 한국어 발음의 정확성과 자연스러움을 평가하고 있습니다.,TTS,0,8.27171320002526,1284.1794000705704,1.2841794000705704,11.447437641723356,0.11218051063148167,135.35693359375,345.42333984375,210.06640625,1221.353515625,22050,results_multi_ko\ko_medium\wav\openvoice\OpenVoice-v2_0.wav,True,,"한국어 공식 지원, 음성 클론, MeloTTS 기반",2026-03-03T08:30:02.635573
