model_name,model_version,model_size_params,korean_support,test_text,test_type,run_index,load_time_s,ttfa_ms,inference_time_s,audio_duration_s,rtf,vram_before_mb,vram_after_mb,vram_used_mb,vram_peak_mb,sample_rate,output_wav,success,error,notes,timestamp
CosyVoice2-0.5B,,500M,True,"존경하는 여러분, 오늘 이 자리에 함께해 주셔서 감사드립니다. 저희 회사는 지난 10년간 꾸준한 성장을 거듭하며 글로벌 시장에서 경쟁력을 갖춘 기업으로 발전해 왔습니다. 앞으로도 최선을 다해 여러분의 기대에 부응하겠습니다.",TTS,0,20.989769599982537,32581.240899977274,32.60024119995069,60.8,0.5361881776307679,0.0,2443.625,2443.625,5125.2392578125,24000,results_multi_ko\ko_formal\wav\cosyvoice2\CosyVoice2-0.5B_0.wav,True,,"cross-lingual <|ko|>, campplus CPU",2026-03-03T08:58:45.835138
CosyVoice3-0.5B,,500M,True,"존경하는 여러분, 오늘 이 자리에 함께해 주셔서 감사드립니다. 저희 회사는 지난 10년간 꾸준한 성장을 거듭하며 글로벌 시장에서 경쟁력을 갖춘 기업으로 발전해 왔습니다. 앞으로도 최선을 다해 여러분의 기대에 부응하겠습니다.",TTS,0,22.96166260004975,3813.7245000107214,3.816207299940288,6.64,0.5747300150512482,0.0,3284.8349609375,3284.8349609375,3456.77880859375,24000,results_multi_ko\ko_formal\wav\cosyvoice3\CosyVoice3-0.5B_0.wav,True,,zero-shot with <|ko|>,2026-03-03T08:59:24.554789
Qwen3-TTS-0.6B,,0.6B,True,"존경하는 여러분, 오늘 이 자리에 함께해 주셔서 감사드립니다. 저희 회사는 지난 10년간 꾸준한 성장을 거듭하며 글로벌 시장에서 경쟁력을 갖춘 기업으로 발전해 왔습니다. 앞으로도 최선을 다해 여러분의 기대에 부응하겠습니다.",TTS,0,2.0826039999956265,26503.980199922808,26.503980199922808,15.92,1.6648228768795734,0.0,2070.3466796875,2070.3466796875,2818.72900390625,24000,results_multi_ko\ko_formal\wav\qwen3_tts_0.6b\Qwen3-TTS-0.6B_0.wav,True,,"10개 언어 지원, qwen_tts 패키지",2026-03-03T09:00:37.772052
Qwen3-TTS-1.7B,,1.7B,True,"존경하는 여러분, 오늘 이 자리에 함께해 주셔서 감사드립니다. 저희 회사는 지난 10년간 꾸준한 성장을 거듭하며 글로벌 시장에서 경쟁력을 갖춘 기업으로 발전해 왔습니다. 앞으로도 최선을 다해 여러분의 기대에 부응하겠습니다.",TTS,0,2.9599971999414265,23558.76560008619,23.55876560008619,15.04,1.5664072872397734,0.0,4004.4638671875,4004.4638671875,4753.18994140625,24000,results_multi_ko\ko_formal\wav\qwen3_tts_1.7b\Qwen3-TTS-1.7B_0.wav,True,,"10개 언어 지원, 고품질",2026-03-03T09:01:48.856419
GPT-SoVITS-V3,,~200M,True,"존경하는 여러분, 오늘 이 자리에 함께해 주셔서 감사드립니다. 저희 회사는 지난 10년간 꾸준한 성장을 거듭하며 글로벌 시장에서 경쟁력을 갖춘 기업으로 발전해 왔습니다. 앞으로도 최선을 다해 여러분의 기대에 부응하겠습니다.",TTS,0,3.8575341999530792,5758.34349996876,5.75834349996876,18.197333333333333,0.3164388646670992,0.0,1924.83056640625,1924.83056640625,2228.13623046875,24000,results_multi_ko\ko_formal\wav\gpt_sovits\GPT-SoVITS-V3_0.wav,True,,"V3 (BigVGAN vocoder), 한국어 지원",2026-03-03T09:02:27.903837
XTTS-v2,,~1.8B,True,"존경하는 여러분, 오늘 이 자리에 함께해 주셔서 감사드립니다. 저희 회사는 지난 10년간 꾸준한 성장을 거듭하며 글로벌 시장에서 경쟁력을 갖춘 기업으로 발전해 왔습니다. 앞으로도 최선을 다해 여러분의 기대에 부응하겠습니다.",TTS,0,24.70434329996351,6197.093399940059,6.197093399940059,21.911333333333335,0.282825937868077,0.0,1823.1953125,1823.1953125,2005.1357421875,24000,results_multi_ko\ko_formal\wav\xtts\XTTS-v2_0.wav,True,,"17개 언어, 한국어 공식 지원, Coqui",2026-03-03T09:03:10.123670
MeloTTS-KO,,~50M,True,"존경하는 여러분, 오늘 이 자리에 함께해 주셔서 감사드립니다. 저희 회사는 지난 10년간 꾸준한 성장을 거듭하며 글로벌 시장에서 경쟁력을 갖춘 기업으로 발전해 왔습니다. 앞으로도 최선을 다해 여러분의 기대에 부응하겠습니다.",TTS,0,14.62169299996458,706.9911999860778,0.7069911999860778,18.91172335600907,0.037383753277114025,0.0,200.81689453125,200.81689453125,945.4970703125,44100,results_multi_ko\ko_formal\wav\melotts\MeloTTS-KO_0.wav,True,,"VITS 기반, 한국어 전용, CPU 실시간",2026-03-03T09:03:36.102049
OuteTTS-1.0-0.6B,,0.6B,True,"존경하는 여러분, 오늘 이 자리에 함께해 주셔서 감사드립니다. 저희 회사는 지난 10년간 꾸준한 성장을 거듭하며 글로벌 시장에서 경쟁력을 갖춘 기업으로 발전해 왔습니다. 앞으로도 최선을 다해 여러분의 기대에 부응하겠습니다.",TTS,0,21.31360729993321,51071.93720003124,51.07193720003124,16.47968253968254,3.099085014353382,0.0,2666.08837890625,2666.08837890625,4047.1611328125,44100,results_multi_ko/ko_formal/wav/outetss/OuteTTS-1.0-0.6B_0.wav,True,,"LLM 기반 TTS, 9개 언어, zero-shot",2026-03-03T09:05:50.419167
OpenVoice-v2,,~200M,True,"존경하는 여러분, 오늘 이 자리에 함께해 주셔서 감사드립니다. 저희 회사는 지난 10년간 꾸준한 성장을 거듭하며 글로벌 시장에서 경쟁력을 갖춘 기업으로 발전해 왔습니다. 앞으로도 최선을 다해 여러분의 기대에 부응하겠습니다.",TTS,0,8.529612199985422,1980.2500999066979,1.9802500999066979,18.808163265306124,0.10528673491257398,135.35693359375,345.42333984375,210.06640625,1376.3076171875,22050,results_multi_ko\ko_formal\wav\openvoice\OpenVoice-v2_0.wav,True,,"한국어 공식 지원, 음성 클론, MeloTTS 기반",2026-03-03T09:06:26.244080
